league,year,title,quote
National League,2015,2015 NATIONAL LEAGUE,"""Another priority for me is to continue to modernize the game (in 2015) without interfering with its history and traditions. Last season's expanded instant replay improved the game's quality and addressed concerns shared by fans and players. We made a dramatic change without altering the game's fundamentals. I look forward to tapping into the power of technology to consider additional advancements that will continue to heighten the excitement of the game, improve the pace of play and attract more young people to the game"" - Commissioner of Baseball Rob Manfred (01/25/2015, 'Commissioner Rob Manfred's letter to fans', Source)"
National League,2016,2016 NATIONAL LEAGUE,"""It might as well be a matchup from a movie: the two teams with the longest title droughts in baseball paired in the same World Series. No wonder, then, that Joe Maddon has watched Field of Dreams since his Chicago Cubs clinched the National League pennant. 'I cry easily,' said Maddon, the Cubs’ manager. 'So the connection to the past is very important.' To loosely quote the script, the memories could be so thick at this World Series, the fans will have to swat them away from their faces. The Cubs have gone 108 years without a championship. The Cleveland Indians have gone 68. No other team in baseball has come close to so many consecutive unfulfilled seasons. 'The baseball gods are really happy right now,' the Indians' Mike Napoli said. 'I wanted the Cubs to win, just because I knew how cool it would be to be a part of it. I think it's going to be a special World Series. There's two droughts, and there’s going to be a winner.'"" - New York Times Staff Writer Tyler Kepner (10/24/2016, World Series Preview: For Cubs or Indians, Decades of Waiting Are Nearly Over, Source)"
National League,2017,2017 NATIONAL LEAGUE,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
National League,2018,2018 NATIONAL LEAGUE,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - Botte, Peter. New York Daily News Staff Writer. MLB commissioner Rob Manfred says National League could implement DH by 2017. 21 January 2016."
National League,2019,2019 NATIONAL LEAGUE,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
National League,2020,2020 NATIONAL LEAGUE,"""I mean, it's a little different because we just played 60 games and I didn't get to play all 60 games. I just feel good about it (winning the National League batting title) because you see how consistent you've got to be to win it. That means you've got to be consistent the whole two months. So, it just feels good."" - Juan Soto"
National League,2021,2021 NATIONAL LEAGUE,"""I think it's (expanding the postseason) good for baseball because it creates competitiveness. The fans know that if there's eight playoff spots in each league, you're going to have eleven or twelve teams competing for those spots. You know in some form you're going to be in it. So the more things we can do to create competition, I think that helps."" - Boras, Scott. USA Today: MLB rule changes: League still discussing universal DH and expanded playoffs for 2021 season. 15 January 2021."
National League,2022,2022 NATIONAL LEAGUE,"""I understand the job description. The job description here isn't to be competitive or try to win more games than you lose. It's to be the last team standing (in 2022)."" - Showalter, Buck. New York Mets Manager. Press Conference. 21 December 2021."
National League,2023,2023 NATIONAL LEAGUE,"""Way-too-early Power Rankings, New Year's edition: 2. Mets. (Number one in the National League) This ranking is somewhat based on the assumption that eventually Carlos Correa will come to an agreement with the Mets, but as we've watched this play out, there's really no way of knowing where the shortstop (or is he a third baseman?) will land. Let's just say the Mets are our No. 2 pick based on a few seemingly strong free-agent signings and the fact that they were just really good in '22, despite how sourly the season ended. But be warned: Things can unravel for an older team, and the Mets are going to employ a starting rotation with a lot of miles on some of their arms."" - Footer, Alyson. MLB Staff Writer. Here are the first Power Rankings of 2023. 1 January 2023."
National League,2024,2024 NATIONAL LEAGUE,"""After a wild postseason that ended with the Texas Rangers winning their first World Series in franchise history, the 2023 Major League Baseball season is officially in the books. Now that the dust has settled, it’s time to start looking ahead to the 2024 campaign. While the odds for 2024 MLB futures bets will shift as the season unfolds, we already have a reasonable idea of how this year will play out and which clubs could be the last one standing. Despite falling short in 2023, the Los Angeles Dodgers are favored to win the 2024 World Series after signing two-time MVP Shohei Ohtani and Japanese pitching star Yoshinobu Yamamoto in December. The Dodgers’ most recent title was in 2020."" - Maher, Tyler. Forbes Staff Writer. World Series Odds: MLB Futures 2024. 26 February 2024."
National League,2025,2025 NATIONAL LEAGUE,"""The 2025 National League season promises to be a captivating chapter in baseball's storied history, with rising stars, established legends, and thrilling rivalries taking center stage. As we embark on this new season, Baseball Almanac celebrates the players, teams, and moments that continue to define America's pastime. From record-breaking feats to unforgettable milestones, the National League is set to deliver a season of excitement and inspiration, further cementing the legacy of Major League Baseball."" - Baseball Almanac Press Release. 18 March 2025."
Players League,1890,1890 PLAYERS LEAGUE,"""The Players' League was a case of skilled laborers attempting to regain control over the sale of their product (baseball games) from the profit driven entrepreneurs who controlled the established major leagues."" - Ethan Lewis in A Structure To Last Forever"":The Players' League And The Brotherhood War of 1890 (2001)"
Union Association,1884,1884 UNION ASSOCIATION,"""It isn't so long ago that a great American President - Abraham Lincoln - freed negro slaves. Now we have leagues which practice a reserve clause which holds athletic young men in perpetual bondage."" - Henry V. Lucas"
